binned autocorrelation in the style of Houel et al, ACS Nano 9 (2015)

params = [A, B, C]
f(t) = (A*(x)**-C) * np.exp(-B*x)
[0.00175288 0.90170343 0.68560316]

time(s) 				 occurence(AU)
1.035636572160000086e-03 1.985683362270067587e-01
1.208242667520000209e-03 1.793886754122908656e-01
1.380848762880000115e-03 1.628617087469517166e-01
1.553454858240000021e-03 1.495540366285230682e-01
1.726060953600000144e-03 1.380211286970145501e-01
2.071273144320000172e-03 1.191978638575412752e-01
2.416485335040000418e-03 1.050773295713307576e-01
2.761697525760000230e-03 9.378934365489466352e-02
3.106909716480000042e-03 8.599191578606135700e-02
3.452121907200000287e-03 7.877404279787780794e-02
4.142546288640000345e-03 6.926783632184085882e-02
4.832970670080000836e-03 6.225923942165345615e-02
5.523395051520000459e-03 5.733936303739395335e-02
6.213819432960000083e-03 5.439666991337177571e-02
6.904243814400000574e-03 5.046966288146514934e-02
8.285092577280000689e-03 4.601867179825336329e-02
9.665941340160001671e-03 4.375520290055057160e-02
1.104679010304000092e-02 3.939507253645913032e-02
1.242763886592000017e-02 3.593897889955721681e-02
1.380848762880000115e-02 3.598711777991558947e-02
1.657018515456000138e-02 3.158740134262094656e-02
1.933188268032000334e-02 2.909171568685131604e-02
2.209358020608000184e-02 2.972733984906694715e-02
2.485527773184000033e-02 2.660905440300154190e-02
2.761697525760000230e-02 2.666288724285648115e-02
3.314037030912000276e-02 2.224856997959445692e-02
3.866376536064000669e-02 1.826511257434493274e-02
4.418716041216000368e-02 1.836496323530623087e-02
4.971055546368000067e-02 1.870391602013121712e-02
5.523395051520000459e-02 1.634189995358426017e-02
6.628074061824000551e-02 1.396140093583642106e-02
7.732753072128001337e-02 1.240573880708151222e-02
8.837432082432000735e-02 1.317605220978901315e-02
9.942111092736000133e-02 1.052308740613105975e-02
1.104679010304000092e-01 9.147908167340457197e-03
1.325614812364800110e-01 8.745280583779324601e-03
1.546550614425600267e-01 7.562105338270397326e-03
1.767486416486400147e-01 7.374094567046629578e-03
1.988422218547200027e-01 4.283283992008168894e-03
2.209358020608000184e-01 3.641171709316992633e-03
2.651229624729600221e-01 3.482868624524959600e-03
3.093101228851200535e-01 2.955904986060131634e-03
3.534972832972800294e-01 2.697348637942686977e-03
3.976844437094400053e-01 5.894249370246296138e-04
4.418716041216000368e-01 2.261351128715727299e-03
5.302459249459200441e-01 -2.211779004935854331e-03
6.186202457702401070e-01 -4.004039993908525830e-03
7.069945665945600588e-01 -8.036175156805880349e-03
7.953688874188800106e-01 -1.008431599173031934e-02
8.837432082432000735e-01 -1.230431961676603514e-02
