tauStart_ns: 0
tauEnd_ns: 100
tauStart_bin: 0
tauEnd_bin: 607
 
fit_A, fit_gamma, fit_gamma_err, fit_bg
2.439930283401759326e+00, 2.668177086860937242e-01, 1.048063068716494906e+00, 9.732904179336912195e-03
7.435498348591442763e-01, 1.886103845162748482e-01, 3.850010639810446111e-01, 3.664333129456601168e-02
1.213046191146877284e+00, 2.872400493794668302e-02, 7.505541842916244599e-01, 7.449108734104147034e-02
1.465337319047552933e+00, 2.263067596758546463e-01, 1.368857409443238637e+00, 0.000000000000000000e+00
1.308271392310610404e+00, 6.043672956048027484e-02, 1.887611811785484539e-01, 1.714132478405673843e-01
1.253839228727856581e+00, 4.175987120213078135e-02, 6.263402311170294945e-02, 6.153929328133932175e-02
6.602199173377732322e+00, 5.294301598956940857e-01, 1.074528079258548985e+00, 4.424782755509815146e-02
2.160373323499931164e+00, 6.053290727101431901e-02, 1.154997468700222074e-01, 1.730837772010972442e-01
9.303956520586934564e-01, 2.180008083625433191e-01, 2.085094047699327380e-01, 3.080783259535746325e-03
7.869327992665670735e+00, 5.596603175050525458e-02, 5.144875747120245153e-03, 8.222735099785272173e-01
4.515317673347582605e+00, 3.875759443792358705e-01, 2.638049281268573854e+00, 2.953232550138704809e-02
1.394314959824071920e+01, 5.093557097590207389e-02, 2.080471848553707565e-02, 1.067251692013609476e+00
2.409202828169975774e+00, 1.346980417218173742e-01, 4.744630312877029521e-02, 2.195861606628324997e-02
4.232141474105859835e+00, 1.306790503516219171e-01, 2.640141566960203454e-02, 2.435905509366991795e-01
7.755559845747351799e-01, 5.162473820836001315e-02, 6.150562701501024465e-01, 3.593847807855777426e-02
1.796017493380246410e+00, 6.032325629021854096e-01, 2.958999046539436684e+00, 0.000000000000000000e+00
9.874663628215490929e-01, 3.078666797051042570e-02, 1.193113530206598716e+00, 1.076837734439131250e-01
1.749748716236083856e+00, 1.920587112679068287e-01, 5.310506260642720022e-01, 2.964655563588136644e-02
3.982532962374278451e+00, 5.948446616156097960e-02, 1.927437176872173197e-01, 4.735165682237381102e-01
1.790015770257636696e+00, 4.359265864923968503e-01, 4.315530809546269886e+00, 2.128304164395190302e-03
6.613152307110040651e-01, 1.530578748618994511e-01, 3.519631892153251562e-01, 1.383267844447278738e-01
1.823508254503235726e+00, 5.368829381724810057e-01, 8.519235679977027687e+00, 6.374331559518096359e-03
2.114533324721493024e+00, 2.507056099046351405e-01, 7.619294620263900031e-02, 5.323881712411994427e-02
9.397767031639343571e-01, 7.990645634976860368e-02, 1.246618484070630140e-01, 2.064381892280358066e-01
6.734034825754193321e+00, 2.902785410037503899e-01, 4.801594765525337566e-02, 5.320148630295448017e-02
8.715441052576603509e-01, 3.734449281476335397e-02, 5.087537090987271915e-01, 1.625975511053716904e-01
2.390065951211612028e+00, 2.195070308070223020e-01, 1.794573736490521210e-01, 2.184475463254774777e-02
5.285198892631395307e-01, 2.523888210124199463e-02, 7.776297821619081452e-01, 3.438593122846406169e-02
2.169195636378927095e+00, 2.392301140989111785e-01, 4.984592902937234893e-01, 3.129274498842408991e-02
2.251041239411863071e+00, 9.359747862349997172e-02, 1.381818752613023504e-01, 3.780814298293745934e-01
3.937096464750588609e+00, 3.052024210722657505e-01, 6.888746546494044221e-02, 7.530947264261497742e-02
1.151936652967499253e+00, 6.200886308278397846e-02, 2.372457422508717287e-02, 6.270056421756378673e-02
3.435529017517945150e+00, 9.685625983673488981e-02, 1.564991535703548833e-02, 4.060646182523960923e-01
2.465319917424837914e+00, 4.568410997584906874e-02, 6.177174521837682647e-02, 2.081203177099420487e-01
6.657146038083758377e+00, 6.939576591100682368e-01, 6.967207825441490421e-01, 8.020070252280308426e-03
1.879549388698655621e+00, 2.572205333056717391e-01, 1.517187025231661046e-01, 2.907587192227840608e-02
2.857666665632616176e+00, 4.863892850854995703e-02, 2.368634863189999773e-01, 9.045792838803791425e-02
1.457724372369354926e+00, 8.672489056813788011e-01, 6.500384417582609764e+00, 5.635229779916085986e-03
1.311840522807722786e+00, 4.773947172429212488e-02, 1.057716994141872646e-01, 4.686080898216112706e-02
1.831411746324450807e+00, 3.511711206308864575e-01, 1.899629120980595720e-01, 1.554829415594184347e-02
1.440474915584146753e+00, 6.351399022482120960e-02, 1.889639101531417342e-01, 7.809983775810785955e-02
1.368242763445101984e+00, 6.120072891603195453e-02, 6.885529380516981768e-02, 1.025789920066845218e-01
1.307226153297055937e+00, 6.344025863699467860e-02, 1.783765892231987601e-02, 5.566664576686176230e-02
5.958547434608921556e+00, 6.840092504969345066e-01, 7.862400377022739084e-01, 2.600840490297009339e-02
2.977374212563229428e+00, 6.030350666200178650e-02, 5.289124858291546077e-02, 1.398316521502408205e-01
3.766960317817684700e-01, 1.354835130280004130e+00, 2.017039810360553531e+01, 9.473002731507317725e-03
8.662602284570126709e-01, 7.235203593986878901e-02, 3.644874714177241681e-02, 5.698984638128007374e-02
3.728657081566170817e+00, 7.179399955364424990e-01, 5.488551678098716469e-01, 1.027465735255021773e-02
6.092023891311491468e+00, 6.280467824853619430e-02, 1.864278269107640107e-02, 2.726579382287933617e-01
2.406779191292025555e+00, 4.496439885799597413e-01, 8.074022904104818932e-02, 2.342435248843699035e-03
2.558810481289451211e+00, 7.442307210370435744e-02, 3.642226765653138604e-02, 4.032345968124553814e-02
1.945236976175668708e+00, 1.444047447714137955e-01, 4.019722733960937600e-01, 9.303080041491999796e-02
1.859751449358311381e+00, 1.289703602365031010e-01, 1.985968997758581767e-01, 1.037765492823807117e-01
4.578403572691990497e+00, 8.278604925148470850e-02, 2.329055040626570316e-01, 1.387038585909142197e-01
4.837675779095120809e+00, 4.679323124216080987e-01, 5.952352905132601846e-01, 2.174986665476992542e-02
3.420846750174835749e-01, 3.042984876696388508e-01, 1.766315490497534668e+00, 0.000000000000000000e+00
1.015298985672432330e+01, 9.923780589628312943e-02, 3.438642349835868695e-01, 6.777404647844170738e-01
3.434134936017682271e+00, 2.915805177335848430e-01, 9.392300665344788246e-02, 3.101128278785528214e-02
7.192886752259057825e-01, 5.402217502817763944e-02, 2.849170734030853289e-02, 6.989976278311903213e-02
1.581988576330955132e+00, 3.973659198771014034e-01, 5.039136797753082320e+00, 1.484327925097835010e-02
1.386859197425542423e+00, 4.694662016621814482e-02, 5.274141105870698565e-02, 8.152313065842901885e-02
4.764266779215507341e+00, 5.165341444536156734e-01, 2.849369193261764188e+00, 4.361615909897586379e-02
9.622344263128145281e-01, 6.472889820363192381e-02, 1.529251733428322324e-01, 3.848496687527581950e-02
1.292931872974939944e+00, 2.407080947031304152e+00, 2.242415576086296980e+01, 7.496043112186507457e-03
6.914577192993086818e+00, 7.673315294189457514e-02, 1.233873273532702999e-02, 2.511422308216702537e-01
6.199936080646941683e+00, 6.487245676486051715e-02, 1.040759853190326989e-01, 2.334048689838517376e-01
7.918708005534426109e-01, 6.524290242527053252e-02, 1.885057082707239720e-02, 7.107393228252353867e-02
1.725020765898819919e+00, 4.257664697010720145e-01, 3.796427483380465095e-01, 8.360397157170346497e-03
1.708828698962440606e+00, 6.093355839203534047e-02, 3.412974829577534730e-01, 5.368837827397972967e-02
1.025506843547888236e+00, 1.942240460396771617e-01, 1.615787459919098557e-01, 8.402762272461318516e-03
