The powerlaw exponent of the long tail of this dot: 3.249537394985591
The height of the powerlaw: -1.016681962974604

The error on the fit: 
0.014442506876926447

The bin nr after which the slope is powerlaw: 22

The fitted data
log(xdata), log(ydata)
-2.977787543984151242e+00 6.338823810918539969e+00
-2.933362631952452837e+00 6.404773665117406978e+00
-2.888937719920754432e+00 6.367456841083852126e+00
-2.844512807889056916e+00 6.418812436919240305e+00
-2.800087895857358511e+00 6.440363823651943598e+00
-2.755662983825660106e+00 6.380108658649044528e+00
-2.711238071793962590e+00 6.365848452012740744e+00
-2.666813159762264185e+00 6.328879422360634166e+00
-2.622388247730566224e+00 6.337451173474683230e+00
-2.577963335698868264e+00 6.343178000101756808e+00
-2.533538423667169859e+00 6.242838115313549707e+00
-2.489113511635471898e+00 6.212279181404690043e+00
-2.444688599603773937e+00 6.162198261294982160e+00
-2.400263687572075533e+00 6.123429357341298562e+00
-2.355838775540377572e+00 6.060136939948258750e+00
-2.311413863508679611e+00 6.004673646289993449e+00
-2.266988951476981207e+00 5.914013208996737880e+00
-2.222564039445283246e+00 5.838872811482973546e+00
-2.178139127413585285e+00 5.739816363884925998e+00
-2.133714215381886881e+00 5.615044313878812865e+00
-2.089289303350188920e+00 5.604302515049683464e+00
-2.044864391318490959e+00 5.437953317156961397e+00
-2.000439479286792555e+00 5.384859564775661411e+00
-1.956014567255094594e+00 5.264046306880507231e+00
-1.911589655223396633e+00 5.119042004099953580e+00
-1.867164743191698451e+00 5.090129258246505195e+00
-1.822739831160000268e+00 4.936559876789736734e+00
-1.778314919128302307e+00 4.785316663089733247e+00
-1.733890007096604124e+00 4.632343430637906323e+00
-1.689465095064905942e+00 4.675068694325106300e+00
-1.645040183033207981e+00 4.420338422706627135e+00
-1.600615271001510020e+00 4.346458531336652165e+00
-1.556190358969811616e+00 4.169408054030363076e+00
-1.511765446938113655e+00 3.802763847264747810e+00
-1.467340534906415694e+00 3.819036775586658550e+00
-1.422915622874717512e+00 3.617004010193295205e+00
-1.378490710843019329e+00 3.544550374561351802e+00
-1.334065798811321368e+00 3.324034203473972049e+00
-1.289640886779623186e+00 2.756730546161938022e+00
-1.245215974747925003e+00 2.934154383746594430e+00
-1.111941238652830677e+00 2.579030898035143959e+00
-1.067516326621132716e+00 2.057484731283783397e+00
-1.023091414589434534e+00 2.314089814916068022e+00
-8.453917664626422468e-01 2.136390166789275291e+00
